Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage
Bobby Riggs,F,U,Undefined,0.0,,
X X,F,U,Undefined,0.0,,
Martina Hingis,F,U,Undefined,0.0,,
Mirjana Lucic,F,R,CRO,0.0,88.0,0.5340909090909091
Justine Henin,F,U,Undefined,0.0,,
Kerry Anne Guse,F,U,Undefined,0.0,,
Jolene Watanabe,F,U,Undefined,0.0,,
Karina Habsudova,F,U,Undefined,0.0,,
Silvija Talaja,F,U,Undefined,0.0,,
Alicia Molik,F,U,Undefined,0.0,,
Tamarine Tanasugarn,F,U,Undefined,0.0,,
Rita Grande,F,U,Undefined,0.0,,
Katarina Srebotnik,F,U,Undefined,0.0,,
Jana Nejedly,F,U,Undefined,0.0,,
Angelica Gavaldon,F,U,Undefined,0.0,,
Tzipi Obziler,F,U,Undefined,0.0,,
Petra Mandula,F,U,Undefined,0.0,,
Sandrine Testud,F,U,Undefined,0.0,,
Arantxa Sanchez Vicario,F,U,Undefined,0.0,,
Julia Abe,F,U,Undefined,0.0,,
Alexandra Fusai,F,U,Undefined,0.0,,
Lisa Raymond,F,U,Undefined,0.0,,
Alexia Dechaume Balleret,F,U,Undefined,0.0,,
Emmanuelle Gagliardi,F,U,Undefined,0.0,,
Bryanne Stewart,F,U,Undefined,0.0,,
Maria Vento Kabchi,F,U,Undefined,0.0,,
Ludmila Cervanova,F,U,Undefined,0.0,,
Florencia Labat,F,U,Undefined,0.0,,
Magui Serna,F,U,Undefined,0.0,,
Maureen Drake,F,R,CAN,0.0,3.0,0.3333333333333333
Lisa Mcshea,F,U,Undefined,0.0,,
Miroslava Vavrinec,F,U,Undefined,0.0,,
Meilen Tu,F,U,Undefined,0.0,,
Barbara Schett,F,U,Undefined,0.0,,
Serena Williams,F,R,USA,4.0,152.0,0.7763157894736842
Amanda Grahame,F,U,Undefined,0.0,,
Maria Sanchez Lorenzo,F,U,Undefined,0.0,,
Nicole Pratt,F,U,Undefined,0.0,,
Sabine Appelmans,F,U,Undefined,0.0,,
Annabel Ellwood,F,U,Undefined,0.0,,
Chanda Rubin,F,U,Undefined,0.0,,
Anna Smashnova,F,U,Undefined,0.0,,
Amy Frazier,F,U,Undefined,0.0,,
Els Callens,F,U,Undefined,0.0,,
Virginie Razzano,F,R,FRA,0.0,60.0,0.38333333333333336
Denisa Chladkova,F,U,Undefined,0.0,,
Tara Snyder,F,U,Undefined,0.0,,
Meghann Shaughnessy,F,U,Undefined,0.0,,
Pavlina Nola,F,U,Undefined,0.0,,
Elena Likhovtseva,F,U,Undefined,0.0,,
Conchita Martinez,F,U,Undefined,0.0,,
Sandra Kleinova,F,U,Undefined,0.0,,
Irina Spirlea,F,U,Undefined,0.0,,
Olga Barabanschikova,F,U,Undefined,0.0,,
Lubomira Bacheva,F,U,Undefined,0.0,,
Sylvia Plischke,F,U,Undefined,0.0,,
Mariana Diaz Oliva,F,U,Undefined,0.0,,
Jelena Kostanic Tosic,F,U,Undefined,0.0,,
Erika De Lone,F,U,Undefined,0.0,,
Anna Foldenyi Dicker,F,U,Undefined,0.0,,
Ruxandra Dragomir Ilie,F,U,Undefined,0.0,,
Tathiana Garbin,F,U,Undefined,0.0,,
Gala Leon Garcia,F,U,Undefined,0.0,,
Kristina Brandi,F,U,Undefined,0.0,,
