Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage
Gardnar Mulloy,M,U,Undefined,0.0,,
Pancho Segura,M,U,Undefined,0.0,,
Frank Sedgman,M,U,Undefined,0.0,,
Giuseppe Merlo,M,U,Undefined,0.0,,
Richard Pancho Gonzales,M,U,Undefined,0.0,,
Grant Golden,M,U,Undefined,0.0,,
Abe Segal,M,U,Undefined,0.0,,
Kurt Nielsen,M,U,Undefined,0.0,,
Istvan Gulyas,M,U,Undefined,0.0,,
Luis Ayala,M,U,Undefined,0.0,,
Torben Ulrich,M,U,Undefined,0.0,,
Nicola Pietrangeli,M,U,Undefined,0.0,,
Neale Fraser,M,U,Undefined,0.0,,
Trevor Fancutt,M,U,Undefined,0.0,,
Sammy Giammalva,M,U,Undefined,0.0,,
Ken Rosewall,M,U,Undefined,0.0,,
Mal Anderson,M,U,Undefined,0.0,,
Barry Mackay,M,U,Undefined,0.0,,
Wieslaw Gasiorek,M,U,Undefined,0.0,,
Alejandro Olmedo,M,U,Undefined,0.0,,
Ashley Cooper,M,U,Undefined,0.0,,
Roy Emerson,M,U,Undefined,0.0,,
Ramanathan Krishnan,M,U,Undefined,0.0,,
Jan Eric Lundquist,M,U,Undefined,0.0,,
Barry Phillips Moore,M,U,Undefined,0.0,,
Andres Gimeno,M,U,Undefined,0.0,,
Gene Scott,M,U,Undefined,0.0,,
Manuel Santana,M,U,Undefined,0.0,,
Rod Laver,M,U,Undefined,0.0,,
Fred Stolle,M,U,Undefined,0.0,,
Dimitri Sturdza,M,U,Undefined,0.0,,
Patricio Rodriguez Chi,M,U,Undefined,0.0,,
Wilhelm Bungert,M,U,Undefined,0.0,,
Christian Kuhnke,M,U,Undefined,0.0,,
Ion Tiriac,M,U,Undefined,0.0,,
Rudy Hernando,M,U,Undefined,0.0,,
Nikola Pilic,M,U,Undefined,0.0,,
Jaime Pinto Bravo,M,U,Undefined,0.0,,
Boro Jovanovic,M,U,Undefined,0.0,,
Bob Hewitt,M,U,Undefined,0.0,,
Ned Neely,M,U,Undefined,0.0,,
Ryoichi Mori,M,U,Undefined,0.0,,
Zdenek Slizek,M,U,Undefined,0.0,,
Sergei Likhachev,M,U,Undefined,0.0,,
John Paish,M,U,Undefined,0.0,,
Larry Nagler,M,U,Undefined,0.0,,
Bob Carmichael,M,U,Undefined,0.0,,
Earl Butch Buchholz,M,U,Undefined,0.0,,
Jim Mcmanus,M,U,Undefined,0.0,,
Martin Mulligan,M,U,Undefined,0.0,,
Premjit Lall,M,U,Undefined,0.0,,
Keishiro Yanagi,M,U,Undefined,0.0,,
Colin Stubs,M,U,Undefined,0.0,,
Jose Mandarino,M,U,Undefined,0.0,,
Cliff Drysdale,M,U,Undefined,0.0,,
Harald Elschenbroich,M,U,Undefined,0.0,,
Pierre Barthes,M,U,Undefined,0.0,,
Roger Taylor,M,U,Undefined,0.0,,
Isao Watanabe,M,U,Undefined,0.0,,
Marty Riessen,M,U,Undefined,0.0,,
Tom Edlefsen,M,U,Undefined,0.0,,
Francois Jauffret,M,U,Undefined,0.0,,
William Higgins,M,U,Undefined,0.0,,
Juan Gisbert,M,U,Undefined,0.0,,
Terry Ryan,M,U,Undefined,0.0,,
Frank Froehling,M,U,Undefined,0.0,,
Frew Mcmillan,M,U,Undefined,0.0,,
Herb Fitzgibbon,M,U,Undefined,0.0,,
Dennis Ralston,M,U,Undefined,0.0,,
Jan Kukal,M,U,Undefined,0.0,,
Jean Claude Barclay,M,U,Undefined,0.0,,
Bailey Brown,M,U,Undefined,0.0,,
Mark Cox,M,U,Undefined,0.0,,
Arthur Ashe,M,U,Undefined,0.0,,
Owen Davidson,M,U,Undefined,0.0,,
Milan Holecek,M,U,Undefined,0.0,,
Daniel Contet,M,U,Undefined,0.0,,
Clark Graebner,M,U,Undefined,0.0,,
Bill Bowrey,M,U,Undefined,0.0,,
Szabolcz Baranyi,M,U,Undefined,0.0,,
Charlie Pasarell,M,U,Undefined,0.0,,
Roger Dowdeswell,M,U,Undefined,0.0,,
Nicola Spear,M,U,Undefined,0.0,,
Tom Okker,M,U,Undefined,0.0,,
Hans Jaochim Plotz,M,U,Undefined,0.0,,
