IOC,Won_Tournaments,Number_of_Matches,Win_Percentage,label
30,17.0,378.0,0.7063492063492064,0.0
79,0.0,7.0,0.2857142857142857,1.0
30,0.0,11.0,0.4545454545454545,1.0
31,0.0,4.0,0.25,1.0
24,0.0,94.0,0.5,0.0
30,0.0,20.0,0.3,0.0
42,0.0,55.0,0.3636363636363636,1.0
18,0.0,57.0,0.7017543859649122,0.0
16,3.0,205.0,0.4926829268292683,0.0
18,0.0,21.0,0.5714285714285714,0.0
59,0.0,8.0,0.75,1.0
27,3.0,194.0,0.4690721649484536,0.0
30,1.0,50.0,0.48,0.0
20,3.0,154.0,0.448051948051948,0.0
24,0.0,53.0,0.490566037735849,0.0
79,0.0,28.0,0.5357142857142857,1.0
18,0.0,28.0,0.5,0.0
2,0.0,2.0,0.5,0.0
3,2.0,81.0,0.5555555555555556,0.0
30,0.0,85.0,0.5058823529411764,0.0
64,0.0,3.0,0.6666666666666666,0.0
70,15.0,229.0,0.8296943231441049,0.0
41,0.0,40.0,0.5,0.0
70,1.0,108.0,0.4907407407407407,0.0
24,3.0,243.0,0.4897119341563786,0.0
66,0.0,61.0,0.4426229508196721,1.0
41,6.0,329.0,0.4924012158054711,0.0
27,1.0,133.0,0.5488721804511278,0.0
18,0.0,40.0,0.4,0.0
27,0.0,96.0,0.4583333333333333,0.0
27,1.0,167.0,0.5029940119760479,0.0
24,0.0,2.0,0.5,1.0
71,0.0,13.0,0.4615384615384615,1.0
24,2.0,151.0,0.5496688741721855,0.0
24,3.0,183.0,0.4699453551912568,0.0
62,0.0,6.0,0.3333333333333333,1.0
10,0.0,87.0,0.4137931034482758,0.0
66,5.0,169.0,0.5325443786982249,0.0
79,0.0,12.0,0.6666666666666666,1.0
42,0.0,6.0,0.6666666666666666,1.0
27,0.0,71.0,0.4225352112676056,0.0
66,0.0,29.0,0.3793103448275862,1.0
55,0.0,11.0,0.4545454545454545,1.0
15,0.0,13.0,0.4615384615384615,1.0
21,0.0,30.0,0.2666666666666666,0.0
1,3.0,213.0,0.5586854460093896,0.0
49,2.0,141.0,0.5531914893617021,0.0
24,2.0,258.0,0.4922480620155038,0.0
1,1.0,113.0,0.5132743362831859,0.0
74,7.0,128.0,0.625,0.0
19,0.0,127.0,0.6141732283464567,0.0
56,0.0,19.0,0.5789473684210527,1.0
74,0.0,75.0,0.3333333333333333,0.0
30,3.0,119.0,0.4705882352941176,0.0
30,3.0,249.0,0.5461847389558233,0.0
41,0.0,34.0,0.4411764705882353,0.0
15,0.0,72.0,0.4305555555555556,0.0
24,1.0,250.0,0.504,0.0
27,0.0,29.0,0.4827586206896552,0.0
75,5.0,304.0,0.4638157894736842,0.0
10,4.0,256.0,0.55859375,0.0
68,0.0,2.0,0.5,1.0
62,0.0,87.0,0.5402298850574713,0.0
41,3.0,281.0,0.498220640569395,0.0
6,4.0,169.0,0.6272189349112426,0.0
79,0.0,65.0,0.4153846153846154,0.0
30,0.0,5.0,0.4,1.0
41,0.0,8.0,0.375,1.0
1,1.0,35.0,0.4857142857142857,0.0
18,0.0,10.0,0.4,1.0
68,5.0,97.0,0.5567010309278351,0.0
78,0.0,11.0,0.3636363636363636,1.0
42,1.0,289.0,0.5536332179930796,0.0
12,0.0,95.0,0.5368421052631579,0.0
30,2.0,228.0,0.5131578947368421,0.0
0,0.0,18.0,0.4444444444444444,0.0
27,2.0,270.0,0.4851851851851851,0.0
16,0.0,65.0,0.4769230769230769,0.0
41,0.0,52.0,0.4807692307692308,1.0
45,0.0,3.0,0.6666666666666666,1.0
64,0.0,69.0,0.4492753623188406,0.0
74,0.0,50.0,0.54,0.0
37,0.0,8.0,0.25,0.0
66,2.0,163.0,0.5030674846625767,0.0
30,0.0,2.0,0.5,1.0
63,0.0,14.0,0.2857142857142857,0.0
40,4.0,208.0,0.5625,0.0
24,0.0,4.0,0.5,1.0
79,6.0,267.0,0.6217228464419475,0.0
1,2.0,169.0,0.5384615384615384,0.0
79,0.0,43.0,0.4186046511627907,0.0
10,0.0,13.0,0.3846153846153846,0.0
66,0.0,265.0,0.4339622641509434,0.0
41,4.0,232.0,0.5,0.0
17,1.0,156.0,0.5192307692307693,0.0
27,0.0,23.0,0.5652173913043478,1.0
18,1.0,309.0,0.5145631067961165,0.0
24,0.0,199.0,0.4874371859296482,0.0
2,0.0,143.0,0.6153846153846154,0.0
24,1.0,90.0,0.4777777777777778,0.0
61,0.0,25.0,0.48,1.0
18,1.0,158.0,0.6265822784810127,0.0
45,0.0,12.0,0.3333333333333333,1.0
37,0.0,7.0,0.4285714285714285,1.0
56,0.0,8.0,0.5,0.0
41,0.0,132.0,0.5681818181818182,0.0
56,0.0,8.0,0.5,1.0
66,0.0,83.0,0.4337349397590361,0.0
24,3.0,289.0,0.5051903114186851,0.0
41,0.0,50.0,0.46,1.0
37,0.0,7.0,0.2857142857142857,1.0
78,7.0,278.0,0.5575539568345323,0.0
77,3.0,342.0,0.52046783625731,0.0
24,7.0,182.0,0.532967032967033,0.0
27,0.0,167.0,0.5089820359281437,0.0
30,0.0,31.0,0.6129032258064516,0.0
68,1.0,250.0,0.488,0.0
37,0.0,9.0,0.2222222222222222,1.0
66,0.0,31.0,0.3870967741935484,1.0
30,0.0,18.0,0.5555555555555556,0.0
24,4.0,232.0,0.5560344827586207,0.0
27,0.0,2.0,0.5,1.0
66,0.0,118.0,0.2627118644067797,0.0
65,4.0,223.0,0.6098654708520179,0.0
30,1.0,294.0,0.5238095238095238,0.0
80,0.0,50.0,0.32,0.0
10,0.0,64.0,0.484375,0.0
24,21.0,314.0,0.8343949044585988,0.0
27,4.0,252.0,0.5912698412698413,0.0
65,0.0,17.0,0.4705882352941176,1.0
42,0.0,101.0,0.5643564356435643,0.0
42,0.0,11.0,0.2727272727272727,1.0
66,0.0,3.0,0.3333333333333333,1.0
27,6.0,251.0,0.6334661354581673,0.0
80,3.0,289.0,0.4671280276816609,0.0
40,0.0,62.0,0.3870967741935484,0.0
14,0.0,212.0,0.4716981132075472,0.0
