,Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage,best_year_matches,worst_year_matches,best_year_wins,worst_year_wins,avg_rank
0,Mirjana Lucic,F,R,CRO,0.0,88.0,0.5340909090909091,2016.0,2018.0,2016.0,2018.0,52.242864556305136
1,Maureen Drake,F,R,CAN,0.0,3.0,0.3333333333333333,2016.0,2016.0,2016.0,2016.0,1128.5
2,Serena Williams,F,R,USA,4.0,152.0,0.7763157894736842,2016.0,2017.0,2016.0,2017.0,35.08725182863114
3,Virginie Razzano,F,R,FRA,0.0,60.0,0.3833333333333333,2016.0,2018.0,2016.0,2017.0,211.56874265569917
4,Patty Schnyder,F,L,SUI,3.0,125.0,0.6,2017.0,2018.0,2017.0,2018.0,260.36333333333334
5,Alexandra Stevenson,F,R,USA,0.0,24.0,0.3333333333333333,2016.0,2018.0,2016.0,2018.0,663.625
6,Pam Casale,F,R,USA,0.0,7.0,0.2857142857142857,2017.0,2018.0,2017.0,2017.0,
7,Lindsay Lee Waters,F,R,USA,0.0,10.0,0.4,2016.0,2017.0,2016.0,2017.0,1128.25
8,Venus Williams,F,R,USA,1.0,178.0,0.5898876404494382,2017.0,2020.0,2017.0,2020.0,27.865296803652967
9,Elena Bovina,F,R,RUS,0.0,21.0,0.4285714285714285,2017.0,2016.0,2017.0,2017.0,733.7777777777778
10,Stephanie Foretz Gacon,F,R,FRA,0.0,18.0,0.4444444444444444,2016.0,2016.0,2016.0,2016.0,231.3875
11,Greta Arn,F,R,HUN,1.0,78.0,0.5512820512820513,2019.0,2020.0,2019.0,2020.0,426.2757352941177
12,Francesca Schiavone,F,R,ITA,2.0,86.0,0.4883720930232558,2017.0,2018.0,2017.0,2018.0,121.0319264069264
13,Maria Jose Martinez Sanchez,F,L,ESP,0.0,10.0,0.3,2017.0,2016.0,2017.0,2016.0,747.5833333333333
14,Daniela Hantuchova,F,R,SVK,0.0,57.0,0.4912280701754385,2016.0,2017.0,2016.0,2017.0,200.48091133004925
15,Eleni Daniilidou,F,R,GRE,0.0,54.0,0.3518518518518518,2016.0,2018.0,2016.0,2017.0,942.3088235294117
16,Tatiana Perebiynis,F,R,UKR,0.0,9.0,0.4444444444444444,2017.0,2018.0,2017.0,2017.0,1204.75
17,Roberta Vinci,F,R,ITA,1.0,100.0,0.47,2016.0,2018.0,2016.0,2018.0,40.07587314331594
18,Bethanie Mattek Sands,F,R,USA,0.0,107.0,0.4485981308411215,2016.0,2020.0,2017.0,2018.0,224.2674788135593
19,Svetlana Kuznetsova,F,R,RUS,3.0,200.0,0.59,2016.0,2021.0,2016.0,2021.0,37.96145101281522
20,Samantha Stosur,F,R,AUS,1.0,208.0,0.4711538461538461,2016.0,2020.0,2016.0,2020.0,58.07857142857142
21,Vera Zvonareva,F,R,RUS,1.0,158.0,0.6012658227848101,2018.0,2019.0,2018.0,2019.0,198.64993553140542
22,Renata Voracova,F,R,CZE,0.0,36.0,0.3611111111111111,2016.0,2017.0,2018.0,2019.0,596.6439393939395
23,Klara Koukalova,F,R,CZE,0.0,18.0,0.3333333333333333,2016.0,2016.0,2016.0,2016.0,120.95833333333334
24,Maria Sharapova,F,R,RUS,1.0,78.0,0.6282051282051282,2018.0,2020.0,2018.0,2016.0,70.6024844720497
25,Jelena Jankovic,F,R,SRB,0.0,74.0,0.4324324324324324,2016.0,2017.0,2016.0,2017.0,39.370535714285715
26,Barbora Zahlavova Strycova,F,R,CZE,1.0,238.0,0.5588235294117647,2017.0,2021.0,2017.0,2020.0,29.542857142857144
27,Anastasia Rodionova,F,R,AUS,0.0,24.0,0.2916666666666667,2017.0,2018.0,2017.0,2016.0,572.1512605042017
28,Vera Dushevina,F,R,RUS,0.0,5.0,0.2,2016.0,2016.0,2016.0,2016.0,498.625
29,Yuliya Beygelzimer,F,R,UKR,0.0,11.0,0.4545454545454545,2016.0,2016.0,2016.0,2016.0,536.3833333333333
30,Chia Jung Chuang,F,R,TPE,0.0,4.0,0.5,2017.0,2017.0,2017.0,2017.0,
31,Shuai Peng,F,R,CHN,6.0,180.0,0.5888888888888889,2017.0,2020.0,2017.0,2020.0,129.4739928607853
32,Emily Webley Smith,F,R,GBR,1.0,166.0,0.4277108433734939,2019.0,2020.0,2019.0,2016.0,546.827575982209
33,Nicole Vaidisova,F,R,CZE,0.0,8.0,0.375,2016.0,2016.0,2016.0,2016.0,323.1333333333333
34,Sesil Karatantcheva,F,R,KAZ,2.0,168.0,0.494047619047619,2017.0,2019.0,2017.0,2019.0,203.34849354375896
35,Monique Adamczak,F,R,AUS,0.0,8.0,0.5,2017.0,2016.0,2017.0,2017.0,935.4166666666667
36,Anastasia Yakimova,F,R,BLR,0.0,10.0,0.5,2016.0,2017.0,2016.0,2017.0,965.0
37,Michaella Krajicek,F,R,NED,2.0,48.0,0.5,2016.0,2017.0,2016.0,2017.0,384.8695652173913
38,Alona Bondarenko,F,R,UKR,0.0,16.0,0.25,2017.0,2016.0,2016.0,2016.0,
39,Ana Ivanovic,F,R,SRB,0.0,31.0,0.4838709677419355,2016.0,2016.0,2016.0,2016.0,19.941666666666666
40,Shahar Peer,F,R,ISR,0.0,8.0,0.25,2016.0,2016.0,2016.0,2016.0,187.58333333333331
41,Lucie Safarova,F,L,CZE,1.0,112.0,0.5535714285714286,2017.0,2018.0,2017.0,2018.0,39.08870967741936
42,Pauline Parmentier,F,R,FRA,3.0,243.0,0.4814814814814814,2016.0,2020.0,2016.0,2020.0,87.83150183150184
43,Alize Cornet,F,R,FRA,2.0,270.0,0.5370370370370371,2018.0,2020.0,2016.0,2020.0,49.095862068965516
44,Mathilde Johansson,F,R,FRA,0.0,14.0,0.2857142857142857,2016.0,2016.0,2016.0,2016.0,185.625
45,Rika Fujiwara,F,R,JPN,0.0,44.0,0.4318181818181818,2017.0,2016.0,2017.0,2016.0,697.6990846681922
46,Kateryna Bondarenko,F,R,UKR,1.0,204.0,0.5098039215686274,2016.0,2019.0,2016.0,2019.0,145.74902412170954
47,Ekaterina Bychkova,F,R,RUS,0.0,14.0,0.2142857142857142,2021.0,2016.0,2021.0,2021.0,
48,Laura Pous Tio,F,U,ESP,0.0,41.0,0.4146341463414634,2016.0,2017.0,2016.0,2016.0,226.99142156862746
49,Emma Laine,F,L,FIN,0.0,20.0,0.55,2016.0,2017.0,2016.0,2016.0,626.3888888888889
50,Alexa Glatch,F,R,USA,0.0,83.0,0.4698795180722891,2019.0,2016.0,2019.0,2016.0,403.89022435897436
51,Su Wei Hsieh,F,R,TPE,2.0,261.0,0.5478927203065134,2018.0,2020.0,2018.0,2020.0,66.9781024060685
52,Vania King,F,R,USA,0.0,66.0,0.5303030303030303,2016.0,2017.0,2016.0,2017.0,295.38433179723506
53,Galina Voskoboeva,F,R,KAZ,0.0,46.0,0.4565217391304347,2016.0,2019.0,2016.0,2017.0,425.3730158730159
54,Tsvetana Pironkova,F,R,BUL,0.0,102.0,0.5294117647058824,2016.0,2020.0,2016.0,2020.0,98.18914893617021
55,Lourdes Dominguez Lino,F,R,ESP,0.0,30.0,0.3666666666666666,2016.0,2016.0,2016.0,2016.0,112.60287081339712
56,Akgul Amanmuradova,F,R,UZB,1.0,131.0,0.4503816793893129,2019.0,2021.0,2019.0,2021.0,446.2738935969868
57,Elena Vesnina,F,R,RUS,1.0,140.0,0.5571428571428572,2016.0,2021.0,2016.0,2021.0,81.00409836065575
58,Olga Savchuk,F,R,UKR,0.0,31.0,0.2903225806451613,2016.0,2017.0,2016.0,2017.0,307.9343434343434
59,Jarmila Gajdosova,F,R,AUS,0.0,10.0,0.3,2016.0,2016.0,2016.0,2016.0,203.35714285714286
