,Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage,best_year_matches,worst_year_matches,best_year_wins,worst_year_wins,avg_rank
0,Alexander Zverev,M,R,GER,17.0,378.0,0.7063492063492064,2017.0,2020.0,2018.0,2020.0,14.5474627569671
1,Agustin Moreno,M,R,MEX,0.0,4.0,0.25,2016.0,2016.0,2016.0,2016.0,
2,Martin Damm,M,L,USA,0.0,7.0,0.2857142857142857,2021.0,2018.0,2021.0,2021.0,758.5
3,Gergely Kisgyorgy,M,R,HUN,0.0,2.0,0.5,2016.0,2016.0,2016.0,2016.0,
4,Frank Moser,M,R,GER,0.0,11.0,0.4545454545454545,2016.0,2017.0,2016.0,2016.0,925.5
5,Konstantinos Economidis,M,R,GRE,0.0,4.0,0.25,2016.0,2016.0,2016.0,2016.0,1133.25
6,Ruben Ramirez Hidalgo,M,R,ESP,0.0,94.0,0.5,2016.0,2019.0,2016.0,2017.0,205.2229468599034
7,Tommy Haas,M,R,GER,0.0,20.0,0.3,2017.0,2017.0,2017.0,2017.0,487.025641025641
8,Toshihide Matsui,M,R,JPN,0.0,55.0,0.3636363636363636,2017.0,2020.0,2019.0,2018.0,1281.890625
9,Radek Stepanek,M,R,CZE,0.0,57.0,0.7017543859649122,2016.0,2017.0,2016.0,2017.0,133.60416666666669
10,Alessandro Motti,M,L,ITA,0.0,4.0,0.25,2016.0,2018.0,2016.0,2016.0,
11,Ivo Karlovic,M,R,CRO,3.0,205.0,0.4926829268292683,2016.0,2021.0,2016.0,2020.0,72.41553287981858
12,Jan Hernych,M,R,CZE,0.0,21.0,0.5714285714285714,2016.0,2018.0,2016.0,2016.0,408.3333333333333
13,Aqeel Khan,M,R,PAK,0.0,8.0,0.75,2017.0,2016.0,2017.0,2020.0,1766.75
14,Rohan Bopanna,M,R,IND,0.0,2.0,0.5,2016.0,2016.0,2016.0,2016.0,
15,Aisam Ul Haq Qureshi,M,R,PAK,0.0,8.0,0.5,2017.0,2020.0,2017.0,2018.0,
16,Thomas Oger,M,U,MON,0.0,1.0,1.0,2017.0,2017.0,2017.0,2017.0,
17,David Marrero,M,R,ESP,0.0,2.0,0.5,2017.0,2017.0,2017.0,2017.0,
18,Stephane Robert,M,R,FRA,3.0,194.0,0.4690721649484536,2016.0,2021.0,2016.0,2020.0,192.7032967032967
19,Michael Berrer,M,L,GER,1.0,50.0,0.48,2016.0,2016.0,2016.0,2016.0,125.74456521739131
20,Michael Quintero,M,R,COL,0.0,6.0,0.1666666666666666,2016.0,2016.0,2016.0,2016.0,
21,Mohammad Ghareeb,M,R,KUW,0.0,2.0,0.5,2016.0,2016.0,2017.0,2017.0,
22,Victor Estrella,M,R,DOM,3.0,154.0,0.448051948051948,2017.0,2019.0,2017.0,2019.0,133.06387546967258
23,Alexey Kedryuk,M,R,KAZ,0.0,10.0,0.1,2017.0,2016.0,2016.0,2016.0,
24,Lauri Kiiski,M,R,FIN,0.0,5.0,0.4,2016.0,2017.0,2016.0,2016.0,
25,Albert Montanes,M,R,ESP,0.0,53.0,0.490566037735849,2016.0,2017.0,2016.0,2017.0,131.82222222222222
26,Ryan Haviland,M,U,USA,0.0,28.0,0.5357142857142857,2016.0,2016.0,2016.0,2017.0,870.3392857142858
27,Jaroslav Pospisil,M,R,CZE,0.0,28.0,0.5,2019.0,2018.0,2016.0,2017.0,561.590909090909
28,Lleyton Hewitt,M,R,AUS,0.0,2.0,0.5,2016.0,2016.0,2016.0,2016.0,308.0
29,Jurgen Melzer,M,L,AUT,2.0,81.0,0.5555555555555556,2017.0,2019.0,2017.0,2019.0,440.9428571428572
30,Rameez Junaid,M,R,AUS,0.0,9.0,0.3333333333333333,2016.0,2017.0,2016.0,2017.0,
31,Benjamin Becker,M,R,GER,0.0,85.0,0.5058823529411764,2016.0,2017.0,2016.0,2017.0,120.41483516483515
32,Andreas Siljestrom,M,R,SWE,0.0,4.0,0.25,2017.0,2018.0,2017.0,2017.0,
33,Victor Hanescu,M,R,ROU,0.0,3.0,0.6666666666666666,2016.0,2016.0,2016.0,2016.0,284.0
34,Jarkko Nieminen,M,L,FIN,0.0,3.0,1.0,2016.0,2016.0,2016.0,2016.0,
35,Roger Federer,M,R,SUI,15.0,229.0,0.8296943231441049,2019.0,2020.0,2018.0,2020.0,3.851236351958895
36,Filippo Volandri,M,R,ITA,0.0,40.0,0.5,2016.0,2016.0,2016.0,2016.0,210.64999999999998
37,Marco Chiudinelli,M,R,SUI,1.0,108.0,0.4907407407407407,2016.0,2017.0,2016.0,2017.0,173.44475867269983
38,Feliciano Lopez,M,L,ESP,3.0,243.0,0.4897119341563786,2016.0,2020.0,2016.0,2020.0,48.96815672036911
39,Mikhail Elgin,M,R,RUS,0.0,61.0,0.4426229508196721,2016.0,2019.0,2016.0,2017.0,730.6037037037037
40,Tomasz Bednarek,M,R,POL,0.0,24.0,0.0416666666666666,2016.0,2018.0,2016.0,2016.0,
41,Paolo Lorenzi,M,R,ITA,6.0,329.0,0.4924012158054711,2019.0,2020.0,2016.0,2021.0,84.00151185292694
42,Julien Benneteau,M,R,FRA,1.0,133.0,0.5488721804511278,2017.0,2018.0,2017.0,2018.0,208.3699534161491
43,Jan Mertl,M,R,CZE,0.0,40.0,0.4,2016.0,2018.0,2016.0,2018.0,324.1875
44,Paul Henri Mathieu,M,R,FRA,0.0,96.0,0.4583333333333333,2016.0,2017.0,2016.0,2017.0,101.27272727272728
45,Nicolas Mahut,M,R,FRA,1.0,167.0,0.5029940119760479,2016.0,2020.0,2016.0,2020.0,107.73677377474846
46,Sanchai Ratiwatana,M,R,THA,0.0,7.0,0.1428571428571428,2016.0,2017.0,2016.0,2016.0,
47,Sonchat Ratiwatana,M,R,THA,0.0,8.0,0.25,2016.0,2019.0,2016.0,2016.0,
48,Marc Fornell Mestres,M,R,ESP,0.0,2.0,0.5,2017.0,2017.0,2017.0,2017.0,1153.0
49,Igor Zelenay,M,R,SVK,0.0,13.0,0.4615384615384615,2016.0,2019.0,2016.0,2018.0,1223.0
