Name,w_ace_clay,w_ace_grass,w_ace_hard,w_ace_carpet,w_df_clay,w_df_grass,w_df_hard,w_df_carpet,w_svpt_clay,w_svpt_grass,w_svpt_hard,w_svpt_carpet,w_1stIn_clay,w_1stIn_grass,w_1stIn_hard,w_1stIn_carpet,w_1stWon_clay,w_1stWon_grass,w_1stWon_hard,w_1stWon_carpet,w_2ndWon_clay,w_2ndWon_grass,w_2ndWon_hard,w_2ndWon_carpet,w_SvGms_clay,w_SvGms_grass,w_SvGms_hard,w_SvGms_carpet,w_bpSaved_clay,w_bpSaved_grass,w_bpSaved_hard,w_bpSaved_carpet,w_bpFaced_clay,w_bpFaced_grass,w_bpFaced_hard,w_bpFaced_carpet
Fernanda Brito,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
Arantxa Rus,57.0,31.0,90.0,90.0,98.0,19.0,114.0,114.0,2254.0,548.0,2667.0,2667.0,1563.0,367.0,1917.0,1917.0,1031.0,267.0,1241.0,1241.0,351.0,104.0,452.0,452.0,356.0,87.0,408.0,408.0,128.0,25.0,166.0,166.0,216.0,35.0,261.0,261.0
Nuria Parrizas Diaz,2.0,6.0,1.0,1.0,23.0,8.0,3.0,3.0,1135.0,146.0,126.0,126.0,839.0,94.0,88.0,88.0,519.0,69.0,53.0,53.0,144.0,27.0,19.0,19.0,173.0,22.0,21.0,21.0,67.0,3.0,5.0,5.0,115.0,6.0,12.0,12.0
Tamara Zidansek,69.0,1.0,43.0,43.0,152.0,6.0,69.0,69.0,4226.0,211.0,2123.0,2123.0,2780.0,141.0,1508.0,1508.0,1751.0,79.0,940.0,940.0,710.0,29.0,306.0,306.0,636.0,35.0,306.0,306.0,284.0,10.0,142.0,142.0,481.0,27.0,228.0,228.0
Ylona Georgiana Ghioroaie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashleigh Barty,269.0,237.0,993.0,993.0,136.0,117.0,464.0,464.0,3280.0,2418.0,10878.0,10878.0,1936.0,1480.0,6446.0,6446.0,1431.0,1130.0,4767.0,4767.0,726.0,490.0,2234.0,2234.0,522.0,400.0,1680.0,1680.0,163.0,121.0,555.0,555.0,244.0,175.0,859.0,859.0
Elina Svitolina,124.0,41.0,721.0,721.0,134.0,44.0,467.0,467.0,3770.0,1154.0,13225.0,13225.0,2340.0,717.0,7987.0,7987.0,1589.0,491.0,5530.0,5530.0,681.0,223.0,2628.0,2628.0,517.0,128.0,1990.0,1990.0,227.0,64.0,701.0,701.0,375.0,99.0,1163.0,1163.0
Aryna Sabalenka,128.0,95.0,795.0,795.0,143.0,91.0,667.0,667.0,2465.0,1520.0,10407.0,10407.0,1516.0,923.0,6238.0,6238.0,1067.0,617.0,4507.0,4507.0,473.0,310.0,2117.0,2117.0,373.0,217.0,1598.0,1598.0,159.0,110.0,572.0,572.0,234.0,166.0,877.0,877.0
Karolina Pliskova,367.0,376.0,1239.0,1239.0,187.0,109.0,541.0,541.0,3804.0,2769.0,11825.0,11825.0,2378.0,1797.0,7216.0,7216.0,1763.0,1378.0,5401.0,5401.0,690.0,495.0,2226.0,2226.0,546.0,432.0,1822.0,1822.0,191.0,113.0,651.0,651.0,299.0,163.0,972.0,972.0
Simona Halep,145.0,46.0,293.0,293.0,208.0,53.0,306.0,306.0,5456.0,1710.0,8825.0,8825.0,3745.0,1196.0,5880.0,5880.0,2484.0,815.0,3923.0,3923.0,856.0,274.0,1517.0,1517.0,779.0,223.0,1392.0,1392.0,303.0,89.0,446.0,446.0,514.0,143.0,770.0,770.0
Andreea Amalia Rosca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandra Samir,1.0,0.0,29.0,29.0,12.0,0.0,17.0,17.0,132.0,0.0,471.0,471.0,80.0,0.0,291.0,291.0,50.0,0.0,189.0,189.0,25.0,0.0,87.0,87.0,21.0,0.0,69.0,69.0,4.0,0.0,22.0,22.0,11.0,0.0,43.0,43.0
Clara Tauson,47.0,0.0,76.0,76.0,37.0,0.0,51.0,51.0,1184.0,0.0,1118.0,1118.0,740.0,0.0,647.0,647.0,505.0,0.0,464.0,464.0,244.0,0.0,243.0,243.0,177.0,0.0,172.0,172.0,81.0,0.0,57.0,57.0,116.0,0.0,92.0,92.0
Isabella Shinikova,24.0,8.0,109.0,109.0,49.0,16.0,136.0,136.0,907.0,234.0,1996.0,1996.0,542.0,136.0,1190.0,1190.0,341.0,100.0,795.0,795.0,170.0,49.0,365.0,365.0,135.0,34.0,241.0,241.0,54.0,15.0,112.0,112.0,101.0,21.0,192.0,192.0
