Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage,best_year_matches,worst_year_matches,best_year_wins,worst_year_wins
Mirjana Lucic,F,R,CRO,0.0,88.0,0.5340909090909091,2016.0,2018.0,2016.0,2018.0
Maureen Drake,F,R,CAN,0.0,3.0,0.3333333333333333,2016.0,2016.0,2016.0,2016.0
Serena Williams,F,R,USA,4.0,152.0,0.7763157894736842,2016.0,2017.0,2016.0,2017.0
Virginie Razzano,F,R,FRA,0.0,60.0,0.38333333333333336,2016.0,2018.0,2016.0,2017.0
Patty Schnyder,F,L,SUI,3.0,125.0,0.6,2017.0,2018.0,2017.0,2018.0
Alexandra Stevenson,F,R,USA,0.0,24.0,0.3333333333333333,2016.0,2018.0,2016.0,2018.0
Pam Casale,F,R,USA,0.0,7.0,0.2857142857142857,2017.0,2018.0,2017.0,2017.0
Lindsay Lee Waters,F,R,USA,0.0,10.0,0.4,2016.0,2017.0,2016.0,2017.0
Venus Williams,F,R,USA,1.0,178.0,0.5898876404494382,2017.0,2020.0,2017.0,2020.0
Elena Bovina,F,R,RUS,0.0,21.0,0.42857142857142855,2017.0,2016.0,2017.0,2017.0
Stephanie Foretz Gacon,F,R,FRA,0.0,18.0,0.4444444444444444,2016.0,2016.0,2016.0,2016.0
Greta Arn,F,R,HUN,1.0,78.0,0.5512820512820513,2019.0,2020.0,2019.0,2020.0
Francesca Schiavone,F,R,ITA,2.0,86.0,0.4883720930232558,2017.0,2018.0,2017.0,2018.0
Maria Jose Martinez Sanchez,F,L,ESP,0.0,10.0,0.3,2017.0,2016.0,2017.0,2016.0
Daniela Hantuchova,F,R,SVK,0.0,57.0,0.49122807017543857,2016.0,2017.0,2016.0,2017.0
Eleni Daniilidou,F,R,GRE,0.0,54.0,0.35185185185185186,2016.0,2018.0,2016.0,2017.0
Tatiana Perebiynis,F,R,UKR,0.0,9.0,0.4444444444444444,2017.0,2018.0,2017.0,2017.0
Roberta Vinci,F,R,ITA,1.0,100.0,0.47,2016.0,2018.0,2016.0,2018.0
Bethanie Mattek Sands,F,R,USA,0.0,107.0,0.4485981308411215,2016.0,2020.0,2017.0,2018.0
Svetlana Kuznetsova,F,R,RUS,3.0,200.0,0.59,2016.0,2021.0,2016.0,2021.0
Samantha Stosur,F,R,AUS,1.0,208.0,0.47115384615384615,2016.0,2020.0,2016.0,2020.0
Vera Zvonareva,F,R,RUS,1.0,158.0,0.6012658227848101,2018.0,2019.0,2018.0,2019.0
Renata Voracova,F,R,CZE,0.0,36.0,0.3611111111111111,2016.0,2017.0,2018.0,2019.0
Klara Koukalova,F,R,CZE,0.0,18.0,0.3333333333333333,2016.0,2016.0,2016.0,2016.0
Maria Sharapova,F,R,RUS,1.0,78.0,0.6282051282051282,2018.0,2020.0,2018.0,2016.0
Jelena Jankovic,F,R,SRB,0.0,74.0,0.43243243243243246,2016.0,2017.0,2016.0,2017.0
Barbora Zahlavova Strycova,F,R,CZE,1.0,238.0,0.5588235294117647,2017.0,2021.0,2017.0,2020.0
Anastasia Rodionova,F,R,AUS,0.0,24.0,0.2916666666666667,2017.0,2018.0,2017.0,2016.0
Vera Dushevina,F,R,RUS,0.0,5.0,0.2,2016.0,2016.0,2016.0,2016.0
Yuliya Beygelzimer,F,R,UKR,0.0,11.0,0.45454545454545453,2016.0,2016.0,2016.0,2016.0
Chia Jung Chuang,F,R,TPE,0.0,4.0,0.5,2017.0,2017.0,2017.0,2017.0
Shuai Peng,F,R,CHN,6.0,180.0,0.5888888888888889,2017.0,2020.0,2017.0,2020.0
Emily Webley Smith,F,R,GBR,1.0,166.0,0.42771084337349397,2019.0,2020.0,2019.0,2016.0
Nicole Vaidisova,F,R,CZE,0.0,8.0,0.375,2016.0,2016.0,2016.0,2016.0
Sesil Karatantcheva,F,R,KAZ,2.0,168.0,0.49404761904761907,2017.0,2019.0,2017.0,2019.0
