Name,Sex,Hand,IOC,Won_Tournaments,Number_of_Matches,Win_Percentage,best_year_matches,worst_year_matches,best_year_wins,worst_year_wins
Alexander Zverev,M,R,GER,17.0,378.0,0.7063492063492064,2017.0,2020.0,2018.0,2020.0
Agustin Moreno,M,R,MEX,0.0,4.0,0.25,2016.0,2016.0,2016.0,2016.0
Martin Damm,M,L,USA,0.0,7.0,0.2857142857142857,2021.0,2018.0,2021.0,2021.0
Gergely Kisgyorgy,M,R,HUN,0.0,2.0,0.5,2016.0,2016.0,2016.0,2016.0
Frank Moser,M,R,GER,0.0,11.0,0.45454545454545453,2016.0,2017.0,2016.0,2016.0
Konstantinos Economidis,M,R,GRE,0.0,4.0,0.25,2016.0,2016.0,2016.0,2016.0
Ruben Ramirez Hidalgo,M,R,ESP,0.0,94.0,0.5,2016.0,2019.0,2016.0,2017.0
Tommy Haas,M,R,GER,0.0,20.0,0.3,2017.0,2017.0,2017.0,2017.0
Toshihide Matsui,M,R,JPN,0.0,55.0,0.36363636363636365,2017.0,2020.0,2019.0,2018.0
Radek Stepanek,M,R,CZE,0.0,57.0,0.7017543859649122,2016.0,2017.0,2016.0,2017.0
Alessandro Motti,M,L,ITA,0.0,4.0,0.25,2016.0,2018.0,2016.0,2016.0
Ivo Karlovic,M,R,CRO,3.0,205.0,0.4926829268292683,2016.0,2021.0,2016.0,2020.0
Jan Hernych,M,R,CZE,0.0,21.0,0.5714285714285714,2016.0,2018.0,2016.0,2016.0
Aqeel Khan,M,R,PAK,0.0,8.0,0.75,2017.0,2016.0,2017.0,2020.0
Rohan Bopanna,M,R,IND,0.0,2.0,0.5,2016.0,2016.0,2016.0,2016.0
Aisam Ul Haq Qureshi,M,R,PAK,0.0,8.0,0.5,2017.0,2020.0,2017.0,2018.0
Thomas Oger,M,U,MON,0.0,1.0,1.0,2017.0,2017.0,2017.0,2017.0
David Marrero,M,R,ESP,0.0,2.0,0.5,2017.0,2017.0,2017.0,2017.0
Stephane Robert,M,R,FRA,3.0,194.0,0.4690721649484536,2016.0,2021.0,2016.0,2020.0
Michael Berrer,M,L,GER,1.0,50.0,0.48,2016.0,2016.0,2016.0,2016.0
Michael Quintero,M,R,COL,0.0,6.0,0.16666666666666666,2016.0,2016.0,2016.0,2016.0
Mohammad Ghareeb,M,R,KUW,0.0,2.0,0.5,2016.0,2016.0,2017.0,2017.0
