,level_0,index,tourney_name,tourney_id,avg_spect,avg_rank,avg_revenue,tot_match
0,0,0,Brisbane,2019-M020,2366.0,129.73469387755102,449800.0199999997,49
1,1,96,Doha,2019-0451,2773.0,180.40625,563339.8099999997,48
2,2,139,Pune,2019-0891,447.0,104.125,87559.10000000002,16
3,9,898,Buenos Aires,2019-0506,3921.0,155.98305084745763,560824.91,59
4,11,976,Rotterdam,2019-0407,3420.0,107.66279069767441,660259.0399999993,43
5,12,1018,Delray Beach,2019-0499,3450.0,451.9032258064516,719448.5100000004,31
6,13,1061,Marseille,2019-0496,4384.0,338.94444444444446,1041275.7000000009,54
7,14,1100,Rio de Janeiro,2019-6932,4009.0,364.00892857142856,790340.1099999995,56
8,15,1143,Acapulco,2019-M004,8787.0,253.6020408163265,2419232.5999999978,49
9,16,1235,Dubai,2019-0495,3380.0,231.54651162790697,860722.48,43
10,17,1277,Sao Paulo,2019-0533,3810.0,297.6020408163265,729746.3799999999,49
11,18,1316,Indian Wells Masters,2019-M006,3531.0,304.72093023255815,515067.28999999946,43
12,19,1411,Indian Wells,2019-M006,4201.0,470.3225806451613,692408.88,31
13,20,1578,Miami Masters,2019-M007,3077.0,511.58064516129036,619881.2799999999,31
14,21,1673,Miami,2019-M007,4202.0,463.9193548387097,522719.90000000026,31
15,22,1840,Houston,2019-0717,3145.0,224.35483870967744,574320.0700000002,31
16,23,1879,Marrakech,2019-0360,3415.0,438.1363636363636,786801.1799999998,55
17,24,1922,Monte Carlo Masters,2019-0410,2510.0,307.00847457627117,489941.1999999995,59
18,25,1998,Barcelona,2019-0425,3312.0,273.72093023255815,676376.0199999997,43
19,26,2063,Budapest,2019-7648,3533.0,557.7741935483871,730314.6999999996,31
20,27,2102,Estoril,2019-7290,2597.0,647.8548387096774,545119.9700000002,31
21,28,2141,Munich,2019-0308,2707.0,599.2096774193549,475008.40000000026,31
22,29,2180,Madrid Masters,2019-M021,3197.0,615.016129032258,757970.2100000005,31
23,30,2235,Madrid,2019-M021,3231.0,582.4354838709678,753803.6000000002,31
24,31,2343,Rome Masters,2019-M009,4238.0,538.2741935483871,845509.1299999999,31
25,32,2398,Rome,2019-M009,3583.0,354.741935483871,838038.09,31
26,33,2498,Geneva,2019-0322,3653.0,393.55,552605.1199999996,30
27,34,2537,Lyon,2019-7694,3261.0,461.0322580645161,738229.1000000002,31
28,35,2576,Roland Garros,2019-520,2109.0,447.01612903225805,361340.77999999997,31
29,36,3026,s Hertogenbosch,2019-M010,5298.0,424.70754716981133,1295591.1499999992,53
30,37,3053,S-Hertogenbosch,2019-M010,3755.0,381.6779661016949,660901.0300000006,59
31,38,3114,Stuttgart,2019-0321,4188.0,509.46610169491527,725393.9500000002,59
32,39,3153,Halle,2019-0500,6888.0,280.0816326530612,1195250.5900000015,49
